C/A,UNIT,STATION,LINENAME,DIVISION
H028,R266,HALSEY ST,L,BMT
H030,R266,HALSEY ST,L,BMT
H032,R295,WILSON AV,L,BMT
H033,R313,BUSHWICK AV,L,BMT
H035,R348,ATLANTIC AV,L,BMT
H037,R349,SUTTER AV,L,BMT
H038,R350,LIVONIA AV,L,BMT
H039,R375,NEW LOTS,L,BMT
H040,R376,EAST 105 ST,L,BMT
H041,R152,CANARSIE-ROCKAW,L,BMT
J001,R460,MARCY AV,JMZ,BMT
J002,R460,MARCY AV,JMZ,BMT
J003,R352,HEWES ST,JM,BMT
J005,R353,LORIMER ST,JM,BMT
J007,R377,FLUSHING AV,JM,BMT
J009,R378,MYRTLE AV,JMZ,BMT
J012,R379,KOSCIUSZKO ST,J,BMT
J013,R380,GATES AV,JZ,BMT
J016,R381,HALSEY ST,J,BMT
J017,R432,CHAUNCEY ST,JZ,BMT
J020,R433,ALABAMA AV,J,BMT
J021,R434,VAN SICLEN AV,JZ,BMT
J022,R435,CLEVELAND ST,J,BMT
J023,R436,NORWOOD AV,JZ,BMT
J024,R437,CRESCENT ST,JZ,BMT
J025,R003,CYPRESS HILLS,J,BMT
J028,R004,75 ST-ELDERTS,JZ,BMT
J030,R005,85 ST-FOREST PK,J,BMT
J031,R006,WOODHAVEN BLVD,JZ,BMT
J032,R006,WOODHAVEN BLVD,JZ,BMT
J034,R007,104 ST,JZ,BMT
J035,R008,111 ST,J,BMT
J037,R009,121 ST,JZ,BMT
JFK01,R535,HOWARD BCH JFK,A,IND
JFK02,R535,HOWARD BCH JFK,A,IND
JFK03,R536,JFK JAMAICA CT1,E,IND
K017,R401,CENTRAL AV,M,BMT
K019,R413,KNICKERBOCKER,M,BMT
K022,R402,SENECA AVE,M,BMT
K024,R403,FOREST AVE,M,BMT
K025,R404,FRESH POND RD,M,BMT
K026,R100,METROPOLITAN AV,M,BMT
N001,R173,INWOOD-207 ST,A,IND
N002A,R173,INWOOD-207 ST,A,IND
N003,R185,DYCKMAN ST,A,IND
N006A,R280,190 ST,A,IND
N007A,R174,181 ST,A,IND
N009,R174,181 ST,A,IND
N010,R126,175 ST,A,IND
N011,R126,175 ST,A,IND
N012,R035,168 ST,AC1,IND
N013,R035,168 ST,AC1,IND
N016A,R296,163 ST-AMSTERDM,C,IND
N017,R331,155 ST,C,IND
N019,R101,145 ST,ABCD,IND
N020,R101,145 ST,ABCD,IND
N022,R332,135 ST,BC,IND
N023,R332,135 ST,BC,IND
N024,R332,135 ST,BC,IND
N025,R102,125 ST,ACBD,IND
N026,R102,125 ST,ACBD,IND
N029,R333,116 ST,BC,IND
N030,R333,116 ST,BC,IND
N034,R334,CATHEDRAL PKWY,BC,IND
N035,R334,CATHEDRAL PKWY,BC,IND
N037,R314,103 ST,BC,IND
N039,R251,96 ST,BC,IND
N040,R251,96 ST,BC,IND
N043,R186,86 ST,BC,IND
N044,R187,81 ST-MUSEUM,BC,IND
N045,R187,81 ST-MUSEUM,BC,IND
N046,R281,72 ST,BC,IND
N049,R084,59 ST COLUMBUS,ABCD1,IND
N051,R084,59 ST COLUMBUS,ABCD1,IND
N056,R188,50 ST,CE,IND
N057,R188,50 ST,CE,IND
N060,R010,42 ST-PORT AUTH,ACENGRS1237W,IND
N062,R011,42 ST-PORT AUTH,ACENQRS1237W,IND
N062A,R010,42 ST-PORT AUTH,ACENQRS1237W,IND
N063,R011,42 ST-PORT AUTH,ACENQRS1237W,IND
N063A,R011,42 ST-PORT AUTH,ACENQRS1237W,IND
N067,R012,34 ST-PENN STA,ACE,IND
N068,R012,34 ST-PENN STA,ACE,IND
N069,R013,34 ST-PENN STA,ACE,IND
N070,R012,34 ST-PENN STA,ACE,IND
N071,R013,34 ST-PENN STA,ACE,IND
N072,R012,34 ST-PENN STA,ACE,IND
N073,R013,34 ST-PENN STA,ACE,IND
N075,R111,23 ST,CE,IND
N076,R111,23 ST,CE,IND
N077,R111,23 ST,CE,IND
N078,R175,14 ST,ACEL,IND
N080,R138,W 4 ST-WASH SQ,ABCDEFM,IND
N083,R138,W 4 ST-WASH SQ,ABCDEFM,IND
N086,R282,SPRING ST,CE,IND
N087,R282,SPRING ST,CE,IND
N089,R139,CANAL ST,ACE,IND
N090,R139,CANAL ST,ACE,IND
N091,R029,CHAMBERS ST,ACE23,IND
N092,R029,CHAMBERS ST,ACE23,IND
N094,R029,WORLD TRADE CTR,ACE23,IND
N095,R014,FULTON ST,ACJZ2345,IND
N095A,R014,FULTON ST,2345ACJZ,IND
N098,R028,FULTON ST,2345ACJZ,IND
N100,R252,HIGH ST,AC,IND
N101,R252,HIGH ST,AC,IND
N102,R127,JAY ST-METROTEC,ACF,IND
N103,R127,JAY ST-METROTEC,ACF,IND
N108,R217,HOYT-SCHER,ACG,IND
N110,R283,LAFAYETTE AV,C,IND
N111,R284,CLINTON-WASH AV,C,IND
N112A,R284,CLINTON-WASH AV,C,IND
N113,R297,FRANKLIN AV,ACS,IND
N114,R297,FRANKLIN AV,ACS,IND
N116,R198,NOSTRAND AV,AC,IND
N117,R198,NOSTRAND AV,AC,IND
N118,R199,KINGSTON-THROOP,C,IND
N119,R199,KINGSTON-THROOP,C,IND
N120,R153,UTICA AV,AC,IND
N120A,R153,UTICA AV,AC,IND
N121B,R438,RALPH AV,C,IND
N122,R439,ROCKAWAY AV,C,IND
N123B,R439,ROCKAWAY AV,C,IND
N124,R103,BROADWAY JCT,ACJLZ,IND
N125,R440,LIBERTY AV,C,IND
N126,R441,VAN SICLEN AVE,C,IND
N127,R442,SHEPHERD AV,C,IND
N128,R200,EUCLID AV,AC,IND
N129,R382,GRANT AV,A,IND
N130,R383,80 ST,A,IND
N131,R383,80 ST,A,IND
N133,R384,88 ST,A,IND
N134,R385,ROCKAWAY BLVD,A,IND
N135,R385,ROCKAWAY BLVD,A,IND
N137,R354,104 ST,A,IND
N138,R355,111 ST,A,IND
N139,R355,111 ST,A,IND
N141,R356,OZONE PK LEFFRT,A,IND
N181,R357,AQUEDUCT N.COND,A,IND
N181A,R464,AQUEDUCT RACETR,A,IND
N182,R414,HOWARD BCH JFK,A,IND
N183,R415,BROAD CHANNEL,AS,IND
N184,R416,BEACH 90 ST,AS,IND
N185,R417,BEACH 98 ST,AS,IND
N186,R418,BEACH 105 ST,AS,IND
N187,R419,ROCKAWAY PARK B,AS,IND
N191,R335,BEACH 67 ST,A,IND
N192,R336,BEACH 60 ST,A,IND
N193,R337,BEACH 44 ST,A,IND
N194,R338,BEACH 36 ST,A,IND
N195,R358,BEACH 25 ST,A,IND
N196,R285,FAR ROCKAWAY,A,IND
N202,R315,155 ST,BD,IND
N203,R195,161/YANKEE STAD,BD4,IND
N205,R195,161/YANKEE STAD,BD4,IND
N206,R104,167 ST,BD,IND
N207,R104,167 ST,BD,IND
N208,R443,170 ST,BD,IND
N209,R443,170 ST,BD,IND
N210,R253,174-175 STS,BD,IND
N212,R253,174-175 STS,BD,IND
N213,R154,TREMONT AV,BD,IND
N215,R237,182-183 STS,BD,IND
N217,R112,FORDHAM RD,BD,IND
N218,R112,FORDHAM RD,BD,IND
N220,R155,KINGSBRIDGE RD,BD,IND
N221,R155,KINGSBRIDGE RD,BD,IND
N222,R156,BEDFORD PK BLVD,BD,IND
N223,R156,BEDFORD PK BLVD,BD,IND
N224,R157,NORWOOD 205 ST,D,IND
N225,R157,NORWOOD 205 ST,D,IND
N300,R113,7 AV,BDE,IND
N301,R113,7 AV,BDE,IND
N303,R015,5 AV/53 ST,EM,IND
N304,R015,5 AV/53 ST,EM,IND
N305,R017,LEXINGTON AV/53,EM6,IND
N305A,R016,LEXINGTON AV/53,EM6,IND
N306,R017,LEXINGTON AV/53,EM6,IND
N307,R359,COURT SQ-23 ST,EMG,IND
N309A,R140,QUEENS PLAZA,EMR,IND
N310,R140,QUEENS PLAZA,EMR,IND
N311,R339,36 ST,MR,IND
N312,R339,36 ST,MR,IND
N314,R238,STEINWAY ST,MR,IND
N315,R238,STEINWAY ST,MR,IND
N316,R267,46 ST,MR,IND
N316A,R267,46 ST,MR,IND
N317,R267,46 ST,MR,IND
N318,R298,NORTHERN BLVD,MR,IND
N319,R298,NORTHERN BLVD,MR,IND
N322,R340,65 ST,MR,IND
N323,R018,JKSN HT-ROOSVLT,EFMR7,IND
N324,R018,JKSN HT-ROOSVLT,EFMR7,IND
N325A,R218,ELMHURST AV,MR,IND
N327,R254,GRAND-NEWTOWN,MR,IND
N329,R201,WOODHAVEN BLVD,MR,IND
N329A,R201,WOODHAVEN BLVD,MR,IND
N330,R202,63 DR-REGO PARK,MR,IND
N330C,R202,63 DR-REGO PARK,MR,IND
N331,R219,67 AV,MR,IND
N332,R219,67 AV,MR,IND
N333,R141,FOREST HILLS 71,EFMR,IND
N333A,R141,FOREST HILLS 71,EFMR,IND
N333B,R141,FOREST HILLS 71,EFMR,IND
N334B,R341,75 AV,EF,IND
N335,R158,KEW GARDENS,EF,IND
N336,R158,KEW GARDENS,EF,IND
N337,R255,BRIARWOOD,EF,IND
N338,R128,SUTPHIN BLVD,F,IND
N338B,R128,SUTPHIN BLVD,F,IND
N339,R114,PARSONS BLVD,F,IND
N339A,R114,PARSONS BLVD,F,IND
N340,R115,169 ST,F,IND
N340A,R115,169 ST,F,IND
N342,R019,JAMAICA 179 ST,F,IND
N343,R019,JAMAICA 179 ST,F,IND
N400A,R359,COURT SQ,EMG,IND
N401,R360,21 ST,G,IND
N405,R239,GREENPOINT AV,G,IND
N408A,R256,NASSAU AV,G,IND
N409,R268,METROPOLITAN AV,GL,IND
N412,R299,BROADWAY,G,IND
N414,R316,FLUSHING AV,G,IND
N414A,R316,FLUSHING AV,G,IND
N415,R286,MYRTLE-WILLOUGH,G,IND
N416,R286,MYRTLE-WILLOUGH,G,IND
N417,R269,BEDFORD-NOSTRAN,G,IND
N418,R269,BEDFORD-NOSTRAN,G,IND
N419,R287,CLASSON AV,G,IND
N420B,R317,CLINTON-WASH AV,G,IND
N422,R318,FULTON ST,G,IND
N500,R020,47-50 STS ROCK,BDFM,IND
N501,R020,47-50 STS ROCK,BDFM,IND
N501A,R020,47-50 STS ROCK,BDFM,IND
N502,R021,42 ST-BRYANT PK,BDFM7,IND
N503,R021,42 ST-BRYANT PK,BDFM7,IND
N504,R021,42 ST-BRYANT PK,BDFM7,IND
N505,R022,34 ST-HERALD SQ,BDFMNQRW,IND
N506,R022,34 ST-HERALD SQ,BDFMNQRW,IND
N507,R023,34 ST-HERALD SQ,BDFMNQRW,IND
N508,R453,23 ST,FM,IND
N509,R203,23 ST,FM,IND
N510,R163,14 ST,FLM123,IND
N511,R163,14 ST,FLM123,IND
N512,R163,14 ST,FLM123,IND
N513,R163,14 ST,FLM123,IND
N519,R461,B'WAY-LAFAYETTE,BDFQ6,IND
N519A,R461,B'WAY-LAFAYETTE,BDFQ6,IND
N520,R240,GRAND ST,BD,IND
N521,R300,2 AV,F,IND
N523,R300,2 AV,F,IND
N525,R142,DELANCEY/ESSEX,FJMZ,IND
N526,R142,DELANCEY/ESSEX,FJMZ,IND
N528,R257,EAST BROADWAY,F,IND
N529,R257,EAST BROADWAY,F,IND
N530,R301,YORK ST,F,IND
N531,R129,BERGEN ST,FG,IND
N532,R129,BERGEN ST,FG,IND
N533,R129,BERGEN ST,FG,IND
N534,R220,CARROLL ST,FG,IND
N535,R220,CARROLL ST,FG,IND
N536,R270,SMITH-9 ST,FG,IND
N537,R258,4 AV-9 ST,DFGMNR,IND
N539,R288,7 AV,FG,IND
N541,R241,15 ST-PROSPECT,FG,IND
N542,R241,15 ST-PROSPECT,FG,IND
N543,R289,FT HAMILTON PKY,FG,IND
N544,R289,FT HAMILTON PKY,FG,IND
N545,R204,CHURCH AV,FG,IND
N546,R204,CHURCH AV,FG,IND
N547,R420,DITMAS AV,F,IND
N548,R420,DITMAS AV,F,IND
N549,R242,18 AV,F,IND
N550,R242,18 AV,F,IND
N551,R421,AVENUE I,F,IND
N553,R422,BAY PKWY,F,IND
N554,R423,AVENUE N,F,IND
N555,R423,AVENUE N,F,IND
N556,R424,AVENUE P,F,IND
N557,R130,KINGS HWY,F,IND
N558,R130,KINGS HWY,F,IND
N559,R425,AVENUE U,F,IND
N561,R271,AVENUE X,F,IND
N562,R426,NEPTUNE AV,F,IND
N600,R302,57 ST,F,IND
N601,R319,LEXINGTON AV/63,F,IND
N601A,R319,LEXINGTON AV/63,F,IND
N602,R259,ROOSEVELT ISLND,F,IND
N603,R303,21 ST-QNSBRIDGE,F,IND
N604,R342,JAMAICA VAN WK,E,IND
N605,R024,SUTPHIN-ARCHER,EJZ,IND
N606,R025,JAMAICA CENTER,EJZ,IND
N607,R025,JAMAICA CENTER,EJZ,IND
N700,R570,72 ST-2 AVE,Q,IND
N700A,R570,72 ST-2 AVE,Q,IND
N701,R571,86 ST-2 AVE,Q,IND
N701A,R571,86 ST-2 AVE,Q,IND
N702,R572,96 ST-2 AVE,Q,IND
N702A,R572,96 ST-2 AVE,Q,IND
PTH01,R549,NEWARK HW BMEBE,1,PTH
PTH02,R544,HARRISON,1,PTH
PTH03,R552,JOURNAL SQUARE,1,PTH
PTH04,R551,GROVE STREET,1,PTH
PTH05,R543,EXCHANGE PLACE,1,PTH
PTH06,R546,PAVONIA/NEWPORT,1,PTH
PTH07,R550,CITY / BUS,1,PTH
PTH09,R548,CHRISTOPHER ST,1,PTH
PTH10,R547,9TH STREET,1,PTH
PTH11,R545,14TH STREET,1,PTH
PTH12,R542,TWENTY THIRD ST,1,PTH
PTH13,R541,THIRTY ST,1,PTH
PTH16,R550,LACKAWANNA,1,PTH
PTH17,R541,THIRTY THIRD ST,1,PTH
PTH18,R549,NEWARK BM BW,1,PTH
PTH19,R549,NEWARK C,1,PTH
PTH20,R549,NEWARK HM HE,1,PTH
PTH21,R540,PATH WTC 2,1,PTH
PTH22,R540,PATH NEW WTC,1,PTH
R101,R001,SOUTH FERRY,1RW,IRT
R102,R304,RECTOR ST,1,IRT
R103,R304,RECTOR ST,1,IRT
R106,R305,WTC-CORTLANDT,1,IRT
R107,R305,WTC-CORTLANDT,1,IRT
R107D,R305,WTC-CORTLANDT,1,IRT
R108,R305,WTC-CORTLANDT,1,IRT
R108A,R305,WTC-CORTLANDT,1,IRT
R109,R305,WTC-CORTLANDT,1,IRT
R110,R027,WALL ST,23,IRT
R111,R027,WALL ST,23,IRT
R112,R027,WALL ST,23,IRT
R112A,R027,WALL ST,23,IRT
R113,R028,FULTON ST,2345ACJZ,IRT
R114,R028,FULTON ST,2345ACJZ,IRT
R115,R029,PARK PLACE,23ACE,IRT
R116,R030,CHAMBERS ST,123,IRT
R117,R343,FRANKLIN ST,1,IRT
R118,R343,FRANKLIN ST,1,IRT
R119,R320,CANAL ST,1,IRT
R120,R320,CANAL ST,1,IRT
R121,R290,HOUSTON ST,1,IRT
R122,R290,HOUSTON ST,1,IRT
R123,R290,HOUSTON ST,1,IRT
R124,R290,HOUSTON ST,1,IRT
R125,R189,CHRISTOPHER ST,1,IRT
R126,R189,CHRISTOPHER ST,1,IRT
R127,R105,14 ST,123FLM,IRT
R128,R105,14 ST,123FLM,IRT
R129,R321,18 ST,1,IRT
R130,R321,18 ST,1,IRT
R131,R190,23 ST,1,IRT
R132,R190,23 ST,1,IRT
R133,R272,28 ST,1,IRT
R134,R272,28 ST,1,IRT
R135,R031,34 ST-PENN STA,123,IRT
R137,R031,34 ST-PENN STA,123,IRT
R138,R293,34 ST-PENN STA,123ACE,IRT
R139,R031,34 ST-PENN STA,123,IRT
R141,R031,34 ST-PENN STA,123,IRT
R142,R293,34 ST-PENN STA,123ACE,IRT
R143,R032,TIMES SQ-42 ST,1237ACENQRSW,IRT
R145,R032,TIMES SQ-42 ST,1237ACENQRSW,IRT
R147,R033,TIMES SQ-42 ST,1237ACENQRS,IRT
R148,R033,TIMES SQ-42 ST,1237ACENQRSW,IRT
R151,R033,TIMES SQ-42 ST,1237ACENQRSW,IRT
R153,R033,TIMES SQ-42 ST,1237ACENQRSW,IRT
R154,R116,50 ST,1,IRT
R155,R116,50 ST,1,IRT
R158,R084,59 ST COLUMBUS,1ABCD,IRT
R159,R164,66 ST-LINCOLN,1,IRT
R160,R164,66 ST-LINCOLN,1,IRT
R160A,R164,66 ST-LINCOLN,1,IRT
R161A,R452,72 ST,123,IRT
R161B,R452,72 ST,123,IRT
R162,R166,79 ST,1,IRT
R163,R166,79 ST,1,IRT
R164,R167,86 ST,1,IRT
R165,R167,86 ST,1,IRT
R166,R167,86 ST,1,IRT
R168A,R168,96 ST,123,IRT
R169,R168,96 ST,123,IRT
R170,R191,103 ST,1,IRT
R171,R192,CATHEDRAL PKWY,1,IRT
R172,R192,CATHEDRAL PKWY,1,IRT
R173,R159,116 ST-COLUMBIA,1,IRT
R174,R034,125 ST,1,IRT
R175,R169,137 ST CITY COL,1,IRT
R176,R169,137 ST CITY COL,1,IRT
R177,R273,145 ST,1,IRT
R178,R273,145 ST,1,IRT
R179,R193,157 ST,1,IRT
R180,R193,157 ST,1,IRT
R182,R035,168 ST,1AC,IRT
R183,R260,181 ST,1,IRT
R185,R274,191 ST,1,IRT
R186,R036,DYCKMAN ST,1,IRT
R188,R037,207 ST,1,IRT
R190,R038,215 ST,1,IRT
R192,R039,MARBLE HILL-225,1,IRT
R194,R040,231 ST,1,IRT
R196,R306,238 ST,1,IRT
R197,R117,V.CORTLANDT PK,1,IRT
R200A,R041,BOWLING GREEN,45,IRT
R201,R041,BOWLING GREEN,45,IRT
R202,R042,BOWLING GREEN,45,IRT
R203,R043,WALL ST,45,IRT
R203A,R043,WALL ST,45,IRT
R204,R043,WALL ST,45,IRT
R204A,R043,WALL ST,45,IRT
R205A,R014,FULTON ST,2345ACJZ,IRT
R206,R014,FULTON ST,2345ACJZ,IRT
R208,R014,FULTON ST,2345ACJZ,IRT
R210,R044,BROOKLYN BRIDGE,456JZ,IRT
R210A,R044,BROOKLYN BRIDGE,456JZ,IRT
R215,R322,SPRING ST,6,IRT
R216,R322,SPRING ST,6,IRT
R217A,R194,BLEECKER ST,6DF,IRT
R219,R160,ASTOR PL,6,IRT
R220,R160,ASTOR PL,6,IRT
R221,R170,14 ST-UNION SQ,456LNQRW,IRT
R226,R131,23 ST,6,IRT
R226A,R131,23 ST,6,IRT
R227,R131,23 ST,6,IRT
R227A,R131,23 ST,6,IRT
R228,R143,28 ST,6,IRT
R229,R143,28 ST,6,IRT
R230,R143,28 ST,6,IRT
R231,R176,33 ST,6,IRT
R231A,R176,33 ST,6,IRT
R232,R176,33 ST,6,IRT
R232A,R176,33 ST,6,IRT
R235,R045,GRD CNTRL-42 ST,4567S,IRT
R236,R045,GRD CNTRL-42 ST,4567S,IRT
R237,R046,GRD CNTRL-42 ST,4567S,IRT
R237B,R047,GRD CNTRL-42 ST,4567S,IRT
R238,R046,GRD CNTRL-42 ST,4567S,IRT
R238A,R046,GRD CNTRL-42 ST,4567S,IRT
R240,R047,GRD CNTRL-42 ST,4567S,IRT
R241A,R048,GRD CNTRL-42 ST,4567S,IRT
R242,R049,51 ST,6,IRT
R242A,R049,51 ST,6,IRT
R243,R049,51 ST,6,IRT
R244,R050,59 ST,456NQRW,IRT
R244A,R050,59 ST,456NQRW,IRT
R245,R051,59 ST,456NQRW,IRT
R245A,R051,59 ST,456NQRW,IRT
R246,R177,68ST-HUNTER CO,6,IRT
R247,R178,77 ST,6,IRT
R248,R178,77 ST,6,IRT
R249,R179,86 ST,456,IRT
R250,R179,86 ST,456,IRT
R251,R144,96 ST,6,IRT
R252,R180,103 ST,6,IRT
R253,R181,110 ST,6,IRT
R254,R181,110 ST,6,IRT
R256,R182,116 ST,6,IRT
R257,R182,116 ST,6,IRT
R258,R132,125 ST,456,IRT
R259,R307,138/GRAND CONC,45,IRT
R260,R205,149/GRAND CONC,245,IRT
R261,R205,149/GRAND CONC,245,IRT
R262,R195,161/YANKEE STAD,4BD,IRT
R262A,R195,161/YANKEE STAD,4BD,IRT
R262B,R195,161/YANKEE STAD,4BD,IRT
R283,R221,167 ST,4,IRT
R284,R243,170 ST,4,IRT
R285,R308,MT EDEN AV,4,IRT
R286,R309,176 ST,4,IRT
R287,R244,BURNSIDE AV,4,IRT
R288,R275,183 ST,4,IRT
R289,R119,FORDHAM RD,4,IRT
R290,R161,KINGSBRIDGE RD,4,IRT
R291,R183,BEDFORD PK BLVD,4,IRT
R293,R133,MOSHOLU PKWY,4,IRT
R294,R052,WOODLAWN,4,IRT
R301,R323,CENTRAL PK N110,23,IRT
R302,R324,116 ST,23,IRT
R303,R324,116 ST,23,IRT
R304,R206,125 ST,23,IRT
R305,R206,125 ST,23,IRT
R306,R207,135 ST,23,IRT
R307,R207,135 ST,23,IRT
R308,R344,145 ST,3,IRT
R309,R345,HARLEM 148 ST,3,IRT
R310,R053,3 AV-149 ST,25,IRT
R311,R053,3 AV-149 ST,25,IRT
R312,R405,JACKSON AV,25,IRT
R314,R406,PROSPECT AV,25,IRT
R315,R406,PROSPECT AV,25,IRT
R316,R407,INTERVALE AV,25,IRT
R317,R408,SIMPSON ST,25,IRT
R318,R408,SIMPSON ST,25,IRT
R319,R409,FREEMAN ST,25,IRT
R320,R409,FREEMAN ST,25,IRT
R321,R386,174 ST,25,IRT
R322,R386,174 ST,25,IRT
R323,R387,WEST FARMS SQ,25,IRT
R325,R388,E 180 ST,25,IRT
R326,R389,BRONX PARK EAST,25,IRT
